video_name,video_height,rel_distance,mos,ci,std
AVT-Faces_lighting1__V4-0005_3500k_2160_hevc,2160p,1.6H,4.32,0.2706359452251333,0.6904105059069326
AVT-Faces_lighting1__V4-0012_3500k_2160_hevc,2160p,1.6H,4.52,0.2296868182348869,0.5859465277082315
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_1000k_1080_hevc,1080p,1.6H,1.8,0.2771807648699356,0.7071067811865476
water_netflix_8s_7000k_2160_hevc,2160p,1.6H,3.68,0.3527935172172097,0.9
AVT-Faces_lighting1__V4-0005_100k_360_hevc,360p,1.6H,1.92,0.3184564536421344,0.8124038404635959
AVT-Faces_lighting1__V4-0012_15000k_2160_hevc,2160p,1.6H,4.52,0.2296868182348869,0.5859465277082315
AVT-Faces_lighting1__V4-0005_3500k_1080_hevc,1080p,1.6H,3.88,0.3263992309436156,0.8326663997864531
cutting_orange_tuil_8s_7000k_2160_hevc,2160p,1.6H,4.28,0.3103104377426999,0.7916228058025279
DialogMeridian_7000k_2160_hevc,2160p,1.6H,4.48,0.2560486227389498,0.6531972647421808
AVT-Faces_lighting1__V4-0012_7000k_2160_hevc,2160p,1.6H,4.52,0.2296868182348869,0.5859465277082315
AVT-Faces_lighting1__V4-0005_400k_720_hevc,720p,1.6H,2.64,0.2968121554472659,0.7571877794400365
cutting_orange_tuil_8s_15000k_2160_hevc,2160p,1.6H,4.4,0.2263171468152343,0.5773502691896257
BunnyAnimation_1000k_1080_hevc,1080p,1.6H,3.44,0.2790225177879633,0.7118052168020874
DialogMeridian_15000k_2160_hevc,2160p,1.6H,4.72,0.1796336663708411,0.4582575694955839
cutting_orange_tuil_8s_7000k_1080_hevc,1080p,1.6H,3.96,0.3295227397286677,0.8406346808612327
DialogMeridian_7000k_1080_hevc,1080p,1.6H,4.28,0.2658624499638335,0.6782329983125268
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_400k_360_hevc,360p,1.6H,1.28,0.1796336663708411,0.458257569495584
cutting_orange_tuil_8s_1000k_1080_hevc,1080p,1.6H,3.44,0.2790225177879633,0.7118052168020874
AVT-Faces_lighting1__V4-0005_7000k_2160_hevc,2160p,1.6H,4.48,0.199877892062176,0.5099019513592784
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_1000k_720_hevc,720p,1.6H,1.92,0.2976737310054043,0.7593857166596344
DialogMeridian_1000k_720_hevc,720p,1.6H,3.28,0.2889423905148204,0.7371114795831993
water_netflix_8s_3500k_1080_hevc,1080p,1.6H,3.32,0.2933405488226072,0.7483314773547882
BunnyAnimation_3500k_1080_hevc,1080p,1.6H,3.88,0.3061561615008535,0.7810249675906654
AVT-Faces_lighting1__V4-0012_400k_720_hevc,720p,1.6H,2.68,0.3144098285982731,0.8020806277010643
DialogMeridian_400k_360_hevc,360p,1.6H,2.24,0.3256136720888082,0.8306623862918076
AVT-Faces_lighting1__V4-0012_100k_360_hevc,360p,1.6H,1.72,0.2658624499638335,0.6782329983125268
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_7000k_2160_hevc,2160p,1.6H,3.44,0.2790225177879633,0.7118052168020874
AVT-Faces_lighting1__V4-0012_1000k_1080_hevc,1080p,1.6H,3.52,0.2799388503622892,0.7141428428542851
water_netflix_8s_1000k_1080_hevc,1080p,1.6H,2.24,0.3800511171646508,0.969535971483266
water_netflix_8s_400k_720_hevc,720p,1.6H,1.68,0.2458433487248622,0.6271629240742259
BunnyAnimation_15000k_2160_hevc,2160p,1.6H,4.24,0.2600186055731717,0.66332495807108
AVT-Faces_lighting1__V4-0005_7000k_1080_hevc,1080p,1.6H,3.96,0.2880547005813186,0.7348469228349533
cutting_orange_tuil_8s_400k_720_hevc,720p,1.6H,2.52,0.3019447344760416,0.7702813338860895
DialogMeridian_1000k_1080_hevc,1080p,1.6H,3.4,0.3200607784236873,0.816496580927726
water_netflix_8s_3500k_2160_hevc,2160p,1.6H,3.0,0.3200607784236873,0.816496580927726
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_15000k_2160_hevc,2160p,1.6H,4.52,0.2296868182348869,0.5859465277082315
DialogMeridian_3500k_2160_hevc,2160p,1.6H,4.16,0.2447994232077118,0.6244997998398399
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_3500k_1080_hevc,1080p,1.6H,3.04,0.3663263046377935,0.9345230512584124
BunnyAnimation_3500k_2160_hevc,2160p,1.6H,4.24,0.2600186055731717,0.66332495807108
AVT-Faces_lighting1__V4-0005_15000k_2160_hevc,2160p,1.6H,4.48,0.199877892062176,0.5099019513592784
water_netflix_8s_15000k_2160_hevc,2160p,1.6H,4.04,0.2880547005813186,0.7348469228349533
BunnyAnimation_1000k_720_hevc,720p,1.6H,3.36,0.2499754590954035,0.6377042156569664
BunnyAnimation_100k_360_hevc,360p,1.6H,1.2,0.1600303892118436,0.408248290463863
AVT-Faces_lighting1__V4-0012_3500k_1080_hevc,1080p,1.6H,4.04,0.2880547005813186,0.7348469228349535
cutting_orange_tuil_8s_3500k_2160_hevc,2160p,1.6H,4.2,0.1959963984540054,0.4999999999999999
BunnyAnimation_7000k_2160_hevc,2160p,1.6H,4.2,0.3394757202228515,0.8660254037844386
water_netflix_8s_100k_360_hevc,360p,1.6H,1.08,0.1085378906962693,0.2768874620972691
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_3500k_2160_hevc,2160p,1.6H,2.6,0.3578388287434315,0.9128709291752768
cutting_orange_tuil_8s_100k_360_hevc,360p,1.6H,1.4,0.1959963984540054,0.5
AVT-Faces_lighting1__V4-0005_3500k_2160_hevc,2160p,2.4H,4.461538461538462,0.2236227990293528,0.5817744738827396
AVT-Faces_lighting1__V4-0012_3500k_2160_hevc,2160p,2.4H,4.384615384615385,0.2680083222389004,0.6972473349922869
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_1000k_1080_hevc,1080p,2.4H,1.6153846153846154,0.2449665028016418,0.6373020054525531
water_netflix_8s_7000k_2160_hevc,2160p,2.4H,3.8461538461538463,0.2089081355217547,0.543492976389406
AVT-Faces_lighting1__V4-0005_100k_360_hevc,360p,2.4H,1.9230769230769231,0.2860592456790284,0.7442084075352507
AVT-Faces_lighting1__V4-0012_15000k_2160_hevc,2160p,2.4H,4.461538461538462,0.1954156671080363,0.508391127441794
AVT-Faces_lighting1__V4-0005_3500k_1080_hevc,1080p,2.4H,4.076923076923077,0.2645940640755405,0.6883648406522183
cutting_orange_tuil_8s_7000k_2160_hevc,2160p,2.4H,4.5,0.2241304564341596,0.5830951894845301
DialogMeridian_7000k_2160_hevc,2160p,2.4H,4.461538461538462,0.2236227990293528,0.5817744738827396
AVT-Faces_lighting1__V4-0012_7000k_2160_hevc,2160p,2.4H,4.5,0.2241304564341596,0.5830951894845301
AVT-Faces_lighting1__V4-0005_400k_720_hevc,720p,2.4H,2.923076923076923,0.3060224915474321,0.7961445558729606
cutting_orange_tuil_8s_15000k_2160_hevc,2160p,2.4H,4.538461538461538,0.2236227990293528,0.5817744738827396
BunnyAnimation_1000k_1080_hevc,1080p,2.4H,3.615384615384616,0.2892202172804552,0.7524319545007682
DialogMeridian_15000k_2160_hevc,2160p,2.4H,4.5,0.2491070749614072,0.648074069840786
cutting_orange_tuil_8s_7000k_1080_hevc,1080p,2.4H,4.423076923076923,0.2220928645380918,0.5777942140988899
DialogMeridian_7000k_1080_hevc,1080p,2.4H,4.384615384615385,0.2892202172804552,0.7524319545007682
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_400k_360_hevc,360p,2.4H,1.3846153846153846,0.2449665028016418,0.6373020054525532
cutting_orange_tuil_8s_1000k_1080_hevc,1080p,2.4H,3.730769230769231,0.3361111602791553,0.8744228866031497
AVT-Faces_lighting1__V4-0005_7000k_2160_hevc,2160p,2.4H,4.423076923076923,0.2220928645380918,0.5777942140988899
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_1000k_720_hevc,720p,2.4H,1.8846153846153848,0.3320286870079926,0.8638019716079873
DialogMeridian_1000k_720_hevc,720p,2.4H,3.3461538461538463,0.2650232518094849,0.6894814104706635
water_netflix_8s_3500k_1080_hevc,1080p,2.4H,3.3461538461538463,0.3596341063802082,0.93561990967733
BunnyAnimation_3500k_1080_hevc,1080p,2.4H,3.8846153846153846,0.3493750453176285,0.9089300556994724
AVT-Faces_lighting1__V4-0012_400k_720_hevc,720p,2.4H,3.0384615384615383,0.2973579399522797,0.7736029591861309
DialogMeridian_400k_360_hevc,360p,2.4H,2.423076923076923,0.3467628588032403,0.9021342216356466
AVT-Faces_lighting1__V4-0012_100k_360_hevc,360p,2.4H,1.9230769230769231,0.3247608945475758,0.8448941672459066
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_7000k_2160_hevc,2160p,2.4H,4.269230769230769,0.3180421965239149,0.8274148805861452
AVT-Faces_lighting1__V4-0012_1000k_1080_hevc,1080p,2.4H,3.807692307692308,0.3441308445927174,0.8952868040680939
water_netflix_8s_1000k_1080_hevc,1080p,2.4H,2.230769230769231,0.2938979366237576,0.7646014547562571
water_netflix_8s_400k_720_hevc,720p,2.4H,1.5384615384615383,0.2713796286286228,0.7060180864974624
BunnyAnimation_15000k_2160_hevc,2160p,2.4H,4.0,0.2663066648934283,0.6928203230275509
AVT-Faces_lighting1__V4-0005_7000k_1080_hevc,1080p,2.4H,4.269230769230769,0.2563029825936994,0.6667948594698256
cutting_orange_tuil_8s_400k_720_hevc,720p,2.4H,2.769230769230769,0.3133622032826321,0.8152394645841089
DialogMeridian_1000k_1080_hevc,1080p,2.4H,3.6538461538461537,0.3251106640561089,0.8458041235325207
water_netflix_8s_3500k_2160_hevc,2160p,2.4H,3.269230769230769,0.385266572579987,1.0023050357128735
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_15000k_2160_hevc,2160p,2.4H,4.6923076923076925,0.2110730444889288,0.5491251783869153
DialogMeridian_3500k_2160_hevc,2160p,2.4H,4.384615384615385,0.1907061637860189,0.4961389383568338
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_3500k_1080_hevc,1080p,2.4H,3.3076923076923075,0.303036834869293,0.7883771061734743
BunnyAnimation_3500k_2160_hevc,2160p,2.4H,4.076923076923077,0.2860592456790284,0.7442084075352507
AVT-Faces_lighting1__V4-0005_15000k_2160_hevc,2160p,2.4H,4.615384615384615,0.1907061637860189,0.4961389383568338
water_netflix_8s_15000k_2160_hevc,2160p,2.4H,4.1923076923076925,0.2880389180592904,0.7493587001820033
BunnyAnimation_1000k_720_hevc,720p,2.4H,3.3846153846153846,0.3451202022007464,0.8978607053178383
BunnyAnimation_100k_360_hevc,360p,2.4H,1.2692307692307692,0.2321020154845336,0.6038339048243189
AVT-Faces_lighting1__V4-0012_3500k_1080_hevc,1080p,2.4H,4.115384615384615,0.2734655903636162,0.7114449002936533
cutting_orange_tuil_8s_3500k_2160_hevc,2160p,2.4H,4.307692307692308,0.2110730444889288,0.5491251783869153
BunnyAnimation_7000k_2160_hevc,2160p,2.4H,4.153846153846154,0.2812511848339598,0.7316998123442532
