user_ID,stimuli_ID,stimuli_file,rating_type,rating,timestamp,rel_distance,abs_distance,stimulus,codec,resolution,bitrate,source,source_short
1,0,['..\\4k_viewing_distance\\cpvs_hevc\\AVT-Faces_lighting1__V4-0012_100k_360_hevc.mkv'],acr,1,2024-08-27 11:18:27 772853,1.6,60,AVT-Faces_lighting1__V4-0012_100k_360_hevc,hevc,360p,100k,AVT-Faces_lighting1__V4-0012,Faces_12
1,1,['..\\4k_viewing_distance\\cpvs_hevc\\AVT-Faces_lighting1__V4-0012_7000k_2160_hevc.mkv'],acr,5,2024-08-27 11:18:41 086424,1.6,60,AVT-Faces_lighting1__V4-0012_7000k_2160_hevc,hevc,2160p,7000k,AVT-Faces_lighting1__V4-0012,Faces_12
1,2,['..\\4k_viewing_distance\\cpvs_hevc\\BunnyAnimation_100k_360_hevc.mkv'],acr,1,2024-08-27 11:18:54 666693,1.6,60,BunnyAnimation_100k_360_hevc,hevc,360p,100k,BunnyAnimation,Bunny
1,3,['..\\4k_viewing_distance\\cpvs_hevc\\AVT-Faces_lighting1__V4-0005_3500k_1080_hevc.mkv'],acr,3,2024-08-27 11:19:09 448002,1.6,60,AVT-Faces_lighting1__V4-0005_3500k_1080_hevc,hevc,1080p,3500k,AVT-Faces_lighting1__V4-0005,Faces_05
1,4,['..\\4k_viewing_distance\\cpvs_hevc\\BunnyAnimation_1000k_1080_hevc.mkv'],acr,3,2024-08-27 11:19:27 318090,1.6,60,BunnyAnimation_1000k_1080_hevc,hevc,1080p,1000k,BunnyAnimation,Bunny
1,5,['..\\4k_viewing_distance\\cpvs_hevc\\DialogMeridian_400k_360_hevc.mkv'],acr,2,2024-08-27 11:19:41 496035,1.6,60,DialogMeridian_400k_360_hevc,hevc,360p,400k,DialogMeridian,Meridian
1,6,['..\\4k_viewing_distance\\cpvs_hevc\\cutting_orange_tuil_8s_1000k_1080_hevc.mkv'],acr,3,2024-08-27 11:20:02 349845,1.6,60,cutting_orange_tuil_8s_1000k_1080_hevc,hevc,1080p,1000k,cutting_orange_tuil_8s,Orange
1,7,['..\\4k_viewing_distance\\cpvs_hevc\\BunnyAnimation_1000k_720_hevc.mkv'],acr,3,2024-08-27 11:20:16 597133,1.6,60,BunnyAnimation_1000k_720_hevc,hevc,720p,1000k,BunnyAnimation,Bunny
1,8,['..\\4k_viewing_distance\\cpvs_hevc\\AVT-Faces_lighting1__V4-0005_7000k_1080_hevc.mkv'],acr,4,2024-08-27 11:20:29 809144,1.6,60,AVT-Faces_lighting1__V4-0005_7000k_1080_hevc,hevc,1080p,7000k,AVT-Faces_lighting1__V4-0005,Faces_05
1,9,['..\\4k_viewing_distance\\cpvs_hevc\\fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_1000k_720_hevc.mkv'],acr,2,2024-08-27 11:20:45 014882,1.6,60,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_1000k_720_hevc,hevc,720p,1000k,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,Debris
1,10,['..\\4k_viewing_distance\\cpvs_hevc\\DialogMeridian_7000k_1080_hevc.mkv'],acr,5,2024-08-27 11:20:58 647166,1.6,60,DialogMeridian_7000k_1080_hevc,hevc,1080p,7000k,DialogMeridian,Meridian
1,11,['..\\4k_viewing_distance\\cpvs_hevc\\DialogMeridian_3500k_2160_hevc.mkv'],acr,5,2024-08-27 11:21:13 595508,1.6,60,DialogMeridian_3500k_2160_hevc,hevc,2160p,3500k,DialogMeridian,Meridian
1,12,['..\\4k_viewing_distance\\cpvs_hevc\\fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_400k_360_hevc.mkv'],acr,1,2024-08-27 11:21:25 240384,1.6,60,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_400k_360_hevc,hevc,360p,400k,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,Debris
1,13,['..\\4k_viewing_distance\\cpvs_hevc\\cutting_orange_tuil_8s_15000k_2160_hevc.mkv'],acr,4,2024-08-27 11:21:37 593327,1.6,60,cutting_orange_tuil_8s_15000k_2160_hevc,hevc,2160p,15000k,cutting_orange_tuil_8s,Orange
1,14,['..\\4k_viewing_distance\\cpvs_hevc\\AVT-Faces_lighting1__V4-0005_7000k_2160_hevc.mkv'],acr,4,2024-08-27 11:21:53 876342,1.6,60,AVT-Faces_lighting1__V4-0005_7000k_2160_hevc,hevc,2160p,7000k,AVT-Faces_lighting1__V4-0005,Faces_05
1,15,['..\\4k_viewing_distance\\cpvs_hevc\\cutting_orange_tuil_8s_400k_720_hevc.mkv'],acr,2,2024-08-27 11:22:06 221149,1.6,60,cutting_orange_tuil_8s_400k_720_hevc,hevc,720p,400k,cutting_orange_tuil_8s,Orange
1,16,['..\\4k_viewing_distance\\cpvs_hevc\\fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_3500k_1080_hevc.mkv'],acr,3,2024-08-27 11:22:17 100322,1.6,60,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_3500k_1080_hevc,hevc,1080p,3500k,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,Debris
1,17,['..\\4k_viewing_distance\\cpvs_hevc\\water_netflix_8s_1000k_1080_hevc.mkv'],acr,2,2024-08-27 11:22:28 014199,1.6,60,water_netflix_8s_1000k_1080_hevc,hevc,1080p,1000k,water_netflix_8s,Water
1,18,['..\\4k_viewing_distance\\cpvs_hevc\\DialogMeridian_15000k_2160_hevc.mkv'],acr,5,2024-08-27 11:22:42 340805,1.6,60,DialogMeridian_15000k_2160_hevc,hevc,2160p,15000k,DialogMeridian,Meridian
1,19,['..\\4k_viewing_distance\\cpvs_hevc\\BunnyAnimation_7000k_2160_hevc.mkv'],acr,4,2024-08-27 11:22:57 150455,1.6,60,BunnyAnimation_7000k_2160_hevc,hevc,2160p,7000k,BunnyAnimation,Bunny
