user_ID,stimuli_ID,stimuli_file,rating_type,rating,timestamp,rel_distance,abs_distance,stimulus,codec,crf,resolution,short_src
3,0,['..\\4k_viewing_distance\\cpvs_hevc\\AVT-Faces_lightingLoop__V8-0032_360p_crf30_hevc.mkv'],acr,1,2024-10-10 14:42:59 277270,4.8,179,AVT-Faces_lightingLoop__V8-0032_360p_crf30_hevc,hevc,30,360p,Faces_32
3,1,['..\\4k_viewing_distance\\cpvs_hevc\\venice_harmonic_2_cropped_8s_1080p_crf22_hevc.mkv'],acr,3,2024-10-10 14:43:11 499266,4.8,179,venice_harmonic_2_cropped_8s_1080p_crf22_hevc,hevc,22,1080p,Venice
3,2,['..\\4k_viewing_distance\\cpvs_hevc\\Knitting_Close_ds_2160p_crf30_hevc.mkv'],acr,4,2024-10-10 14:43:24 427665,4.8,179,Knitting_Close_ds_2160p_crf30_hevc,hevc,30,2160p,Knitting_Close
3,3,['..\\4k_viewing_distance\\cpvs_hevc\\Sparks_8s_107000-115000.avi_360p_crf22_hevc.mkv'],acr,2,2024-10-10 14:43:37 563935,4.8,179,Sparks_8s_107000-115000.avi_360p_crf22_hevc,hevc,22,360p,Sparks
3,4,['..\\4k_viewing_distance\\cpvs_hevc\\ElFuente_8s_224000-231750.avi_720p_crf30_hevc.mkv'],acr,3,2024-10-10 14:43:49 146724,4.8,179,ElFuente_8s_224000-231750.avi_720p_crf30_hevc,hevc,30,720p,ElFuente
3,5,['..\\4k_viewing_distance\\cpvs_hevc\\ElFuente_8s_224000-231750.avi_360p_crf30_hevc.mkv'],acr,2,2024-10-10 14:43:59 544129,4.8,179,ElFuente_8s_224000-231750.avi_360p_crf30_hevc,hevc,30,360p,ElFuente
3,6,['..\\4k_viewing_distance\\cpvs_hevc\\venice_harmonic_2_cropped_8s_2160p_crf30_hevc.mkv'],acr,4,2024-10-10 14:44:10 660620,4.8,179,venice_harmonic_2_cropped_8s_2160p_crf30_hevc,hevc,30,2160p,Venice
3,7,['..\\4k_viewing_distance\\cpvs_hevc\\Moment_of_Intensity_8s_720p_crf22_hevc.mkv'],acr,4,2024-10-10 14:44:21 944786,4.8,179,Moment_of_Intensity_8s_720p_crf22_hevc,hevc,22,720p,Moment
3,8,['..\\4k_viewing_distance\\cpvs_hevc\\fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_2160p_crf30_hevc.mkv'],acr,4,2024-10-10 14:44:33 042444,4.8,179,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_2160p_crf30_hevc,hevc,30,2160p,Debris
3,9,['..\\4k_viewing_distance\\cpvs_hevc\\venice_harmonic_2_cropped_8s_360p_crf30_hevc.mkv'],acr,1,2024-10-10 14:44:43 868233,4.8,179,venice_harmonic_2_cropped_8s_360p_crf30_hevc,hevc,30,360p,Venice
3,10,['..\\4k_viewing_distance\\cpvs_hevc\\american_football_harmonic_8s_720p_crf22_hevc.mkv'],acr,3,2024-10-10 14:44:56 619087,4.8,179,american_football_harmonic_8s_720p_crf22_hevc,hevc,22,720p,Football
3,11,['..\\4k_viewing_distance\\cpvs_hevc\\Chimera-EP09_8s_24000-32000.avi_360p_crf38_hevc.mkv'],acr,1,2024-10-10 14:45:07 343182,4.8,179,Chimera-EP09_8s_24000-32000.avi_360p_crf38_hevc,hevc,38,360p,Chimera
3,12,['..\\4k_viewing_distance\\cpvs_hevc\\Rocket-2_8s_90000-98000.avi_720p_crf22_hevc.mkv'],acr,4,2024-10-10 14:45:19 268802,4.8,179,Rocket-2_8s_90000-98000.avi_720p_crf22_hevc,hevc,22,720p,Rocket_League
3,13,['..\\4k_viewing_distance\\cpvs_hevc\\ElFuente_8s_224000-231750.avi_2160p_crf22_hevc.mkv'],acr,4,2024-10-10 14:45:29 826163,4.8,179,ElFuente_8s_224000-231750.avi_2160p_crf22_hevc,hevc,22,2160p,ElFuente
3,14,['..\\4k_viewing_distance\\cpvs_hevc\\CSGO_8s_23000-31000.avi_2160p_crf22_hevc.mkv'],acr,3,2024-10-10 14:45:42 642220,4.8,179,CSGO_8s_23000-31000.avi_2160p_crf22_hevc,hevc,22,2160p,CS_GO
3,15,['..\\4k_viewing_distance\\cpvs_hevc\\Knitting_Close_ds_720p_crf30_hevc.mkv'],acr,4,2024-10-10 14:45:55 580773,4.8,179,Knitting_Close_ds_720p_crf30_hevc,hevc,30,720p,Knitting_Close
3,16,['..\\4k_viewing_distance\\cpvs_hevc\\monkeys_harmonic_0_cropped_8s_360p_crf22_hevc.mkv'],acr,3,2024-10-10 14:46:14 526801,4.8,179,monkeys_harmonic_0_cropped_8s_360p_crf22_hevc,hevc,22,360p,Monkeys
3,17,['..\\4k_viewing_distance\\cpvs_hevc\\monkeys_harmonic_0_cropped_8s_360p_crf30_hevc.mkv'],acr,2,2024-10-10 14:46:58 625723,4.8,179,monkeys_harmonic_0_cropped_8s_360p_crf30_hevc,hevc,30,360p,Monkeys
